	liquid	tank_failure_pressure	liquid_ratio	tank_width	tank_length	tank_height	BLEVE_height	vapour_temperature	liquid_temperature	status	gas_height	
B59	1	10.9	0.7690528	0.6	6.8	1.6	1.6	463.6	322.3	1	0.40	
B60	1	33.4	0.5993857	2	1.4	0.4	2	312.5	321.6	1	0.20	
B61	1	24	0.361789	0.8	5.6	2	0.8	432.5	364.8	1	1.20	
B62	1	26.2	0.4012759	0.6	4.4	1	1.8	478.1	409.1	0	0.60	
B63	1	17.9	0.3475468	1.8	8.6	1.6	1.6	327.4	308.4	1	1.00	
B64	1	29.8	0.5526484	1	1	0.6	1.2	528	337.8	1	0.20	
B65	1	28.3	0.4354704	2	2.4	1.2	2	286.4	342.9	1	0.60	
B66	1	18.4	0.7951046	2.2	1.2	2.6	0.2	292.5	413.7	0	0.60	
B67	1	34.9	0.3967998	2.2	3.4	1.4	1.2	426.4	408.4	1	0.80	
B68	1	8.3	0.5151881	1.2	9.6	1	0.8	329.9	315.8	1	0.40	
B69	1	36.6	0.8490283	2.2	2	2.4	2	318.3	407.1	1	0.40	
B70	1	31.8	0.1390254	3	1.6	1.2	1.4	404.9	339.6	1	1.00	
B71	1	21.9	0.7827038	0.6	5.8	1.4	1.4	550.2	327.5	1	0.40	
B72	1	20.2	0.5853725	2.6	6	1.2	1.8	336.9	290.3	1	0.40	
B73	1	30.4	0.8523124	2	0.6	0.8	1	451.7	399.4	1	0.20	
B74	1	34.4	0.4041978	1.4	3.6	2.6	1.8	565.2	422.9	0	1.60	
B75	1	25.6	0.8751045	0.8	4.2	1.8	1.2	536.9	348.8	1	0.20	
B76	1	22.4	0.3654328	2.2	4.2	0.8	1	511.7	332.2	1	0.60	
B77	1	34.1	0.4304861	3	6.6	2	1.8	547.3	413.6	1	1.20	
B78	1	15.4	0.3616954	0.4	3	1	0.2	486.9	366.9	1	0.60	
B79	1	12.2	0.8118394	1	9.2	2.4	1.6	532.5	292.7	1	0.40	
B80	1	35.9	0.2315804	2	8.6	1	2	476.3	302.7	1	0.80	
B81	1	18.3	0.5694878	2	7.2	1	0.2	540.4	319.1	1	0.40	
B82	1	16.7	0.5505625	1.6	9.2	2.8	0.6	519.7	409	0	1.40	
B83	1	7.9	0.7017251	2	3.4	0.4	1.4	532.6	418.9	0	0.20	
B84	1	32.3	0.2557274	2.2	2	2.6	0.6	342.6	316.7	1	2.00	
B85	1	8.3	0.3704778	0.6	5.4	2.2	1.4	512.9	285.3	1	1.40	
B86	1	24.4	0.8138302	2	8.6	2.2	1.8	508	402	0	0.60	
B87	1	19.6	0.1715834	1.6	9.4	2.2	0.2	546.8	359.1	1	1.80	
B88	1	14.4	0.5225166	2.4	1	2	0.2	285.6	346	1	1.00	
B89	1	15	0.6964062	0.8	4.4	0.6	1.6	518.2	308.8	1	0.20	
B90	1	22.3	0.4738264	1.8	1.4	1.6	0.8	477.5	360	1	0.80	
B91	1	8.6	0.3883961	1.4	8.6	2.2	0.6	308.3	403.2	0	1.40	
B92	1	7.7	0.7573988	3	4.2	2.4	1.2	454.3	401.1	0	0.60	
B93	1	13.5	0.6813783	0.6	2	0.8	0.4	326.2	320.8	1	0.20	
B94	1	27	0.775352	2	3.4	2.6	0.6	547.5	383.7	1	0.60	
B95	1	36.6	0.3369213	0.4	3.6	2.4	0.6	426.3	396.2	1	1.60	
B96	1	9.9	0.6278925	1.6	8.2	1.2	0.6	313.8	405.1	0	0.60	
B97	1	36.9	0.6450146	1.6	9.4	0.6	1	442.2	299	1	0.20	
B98	1	20.2	0.4006062	1.6	9	2.4	1.6	379.7	403.2	0	1.60	
B99	1	5.4	0.8449645	2.4	3	2.4	0.8	359.3	422.6	0	0.40	
B100	1	24.7	0.754141	1	6.8	1.8	0.2	424.4	299.9	1	0.40	
B101	1	33.8	0.7386966	1.4	4.2	2.2	0.6	362.3	403.7	1	0.60	
B102	1	30.7	0.1812905	0.6	2	2.8	1.2	334.7	404.9	1	2.20	
B103	1	21.6	0.4162865	1.4	9.8	2.4	0.6	483.6	381.9	1	1.40	
B104	1	17.3	0.7022028	1.2	3.2	2	0.4	356.2	387.7	0	0.60	
B105	1	14.5	0.3377996	0.6	8.6	1.8	0.4	504	422.4	0	1.20	
B106	1	15.3	0.6934026	2.8	7	1.4	0.4	329.5	360.7	1	0.40	
B107	1	12.8	0.4390628	1.6	7.4	1	0.6	406.5	380.2	0	0.60	
B108	1	13.8	0.2211921	1.2	1.8	1.6	1	308.4	303.3	1	1.20	
B109	1	9	0.6581477	1	3	1.2	2	382.4	375.1	0	0.60	
B110	1	35.3	0.2585767	1.8	9.2	1.8	0.6	299.7	283.3	1	1.40	
B111	1	28.9	0.4780034	0.6	8.6	1	1.8	309.3	317.6	1	0.60	
B112	1	9.8	0.2025043	2.8	4.4	0.8	0.6	487.3	358.6	0	0.80	
B113	1	16.8	0.3364263	2.8	8.6	2.2	0.4	389.9	387.2	0	1.60	
B114	1	17.2	0.2285494	1.2	9.6	0.4	0	315.7	347.2	1	0.40	
B115	1	36.1	0.8740138	2.2	3.4	1	1.8	301.9	393.5	1	0.20	
B116	1	10.7	0.7355321	2.8	3.2	2.2	0.8	514.3	290	1	0.60	
B117	1	13.4	0.6774268	2.2	1.6	1.2	0.2	427.7	378.1	0	0.40	
B118	1	19.5	0.8379519	1.4	5.6	1.8	1.4	303.3	415.7	0	0.40	
B119	1	7.3	0.3634635	0.8	3.4	2.4	0.2	441.5	419.5	0	1.60	
B120	1	7.3	0.4715659	2.4	2	2.2	1.4	544.8	363	0	1.20	
B121	1	13.9	0.4615468	1.4	1	1.2	1.4	397.8	410.7	0	0.80	
B122	1	11.1	0.6023224	0.8	7.2	2.8	0.4	304.9	391.7	0	1.20	
B123	1	8.3	0.2563306	2.8	4	0.8	1.8	329.3	347.5	0	0.60	
B124	1	35.9	0.5931555	1.8	2.2	3	1.2	349.3	310	1	1.20	
B125	1	28.4	0.3951926	0.6	7	0.8	1.2	383.7	423.6	0	0.60	
B126	1	20.9	0.5644648	0.8	4.6	1.6	1	412.2	317.6	1	0.60	
B127	1	34.7	0.6604552	1.4	2.8	0.6	1	479.2	283.2	1	0.20	
B128	1	24.1	0.5984947	3	9	0.8	1.8	496.4	319	1	0.40	
B129	1	19.3	0.1455637	2.6	1	0.4	1.6	546.5	312.5	1	0.40	
B130	1	12.6	0.6433107	0.8	3.4	1.8	0.8	417.3	328.4	1	0.60	
B131	1	21.2	0.1050219	1.6	9.6	2.2	0.6	529.5	306.6	1	2.00	
B132	1	20.3	0.5467082	2.2	0.8	1	0	431.7	407.4	0	0.60	
B133	1	13.9	0.198218	2.2	4.4	2.4	0.6	493.6	333.1	1	2.00	
B134	1	36.6	0.607179	1.6	7.6	0.8	0.4	360.1	350.2	1	0.40	
B135	1	24.9	0.7652587	0.8	3.2	1.6	1.2	522.4	405.3	0	0.40	
B136	1	17.1	0.3051304	2.4	7	2	1.8	481.5	341.7	1	1.40	
B137	1	6	0.660478	0.6	5.4	0.6	1.6	419.7	419.2	0	0.40	
B138	1	36.7	0.2364286	0.4	6.4	1.8	0.6	376.3	299.4	1	1.40	
B139	1	23.2	0.5016409	2.8	5.6	2	0	481.7	365.4	1	1.00	
B140	1	31.7	0.1017556	2.6	1.8	2.2	0.2	506	334.9	1	2.00	
B141	1	18.9	0.7301809	1.4	7.2	2.6	1.8	362.4	335.8	1	0.80	
B142	1	28.5	0.7607286	2.6	10	2.2	0	431.9	388.6	1	0.60	
B143	1	22.4	0.2221152	1.6	0.6	2.6	1.8	435	343.4	1	2.00	
B144	1	19.5	0.2829425	1	6.6	1.6	1	315.6	333.9	1	1.20	
B145	1	20.7	0.1139264	0.8	1.4	1.2	1.2	328.6	312	1	1.00	
B146	1	19.7	0.1081651	2.6	6.2	0.6	1.4	572.9	358.1	1	0.60	
B147	1	29.6	0.4935249	2.8	2	2.8	0.4	513.9	320.1	1	1.40	
B148	1	13.2	0.4006658	2.8	0.6	1.2	0.4	442.1	322	1	0.80	
B149	1	30.7	0.1538231	1.2	4	0.4	0.8	547	351.9	1	0.40	
B150	1	24	0.8281839	1	2	1.8	0.4	557.4	291.1	1	0.40	
B151	1	29.1	0.2094898	1.8	5.6	2	0.2	525	363.5	1	1.60	
B152	1	35.7	0.8386	1.2	5	1.4	1.4	433.5	387.4	1	0.20	
B153	1	29.7	0.551719	1.8	3.2	2.4	0.4	292.2	398.5	1	1.00	
B154	1	8.6	0.8782968	3	6.8	0.8	1.6	430	315	1	0.20	
B155	1	10.3	0.5984985	2	6.6	0.8	0.6	471.8	283.1	1	0.40	
B156	1	20.9	0.2836846	1.4	1.8	1	0.2	492.6	343.8	1	0.80	
B157	1	22.8	0.1011389	2.4	7.8	0.8	1.2	308.9	413.3	0	0.80	
B158	1	16.9	0.2292738	2.4	1.6	2.6	1.2	391.1	410.7	0	2.20	
B159	1	34.9	0.2986958	0.6	2	1.8	1.2	521.2	319.8	1	1.20	
B160	1	10	0.4187185	0.8	10	1.6	0.4	456.1	422.4	0	1.00	
B161	1	6.6	0.7506765	1.2	7.8	2	0.2	545.2	395.8	0	0.60	
B162	1	36.5	0.5463775	2.8	1.6	1.2	1.2	363.6	342.2	1	0.60	
B163	1	30.7	0.3324022	2.6	7	1.2	0.2	356.1	385.6	1	0.80	
B164	1	11	0.5858177	2.4	2.4	2.8	0	496.7	338.5	1	1.20	
B165	1	5.4	0.8287709	2.4	8.8	1.6	0.6	370.1	350.4	0	0.40	
B166	1	19.6	0.4035948	2	2.2	2.4	0.6	414.4	289.3	1	1.40	
B167	1	21.6	0.230469	2.2	4	1.2	0.8	339.7	380.9	1	1.00	
B168	1	20.4	0.3357054	1.8	7.4	2.2	1.8	410.7	418.1	0	1.60	
B169	1	18.3	0.7455575	2.4	5.2	0.8	1	415.2	388	0	0.40	
B170	1	14.2	0.2459401	1.6	8.6	1.8	1	457.3	422.7	0	1.40	
B171	1	28.2	0.4370778	2.8	9.8	2.4	1.2	316.6	364.3	1	1.40	
B172	1	18.9	0.7365572	0.8	7.8	2.8	2	369.6	362.1	1	0.80	
B173	1	23.3	0.3320286	1.8	2.6	1.8	1.2	525.8	407.5	0	1.40	
B174	1	28.9	0.6926961	2	6.4	1.4	1.6	330.8	336.9	1	0.40	
B175	1	8.6	0.6977027	1.2	7.6	2.6	1.6	314.6	307.2	1	0.80	
B176	1	21.4	0.3534536	2.4	7.6	1.8	0.8	354.3	355.2	1	1.20	
B177	1	27.4	0.6680979	2.2	9.2	0.6	0.2	415.6	333.7	1	0.20	
B178	1	12	0.7300118	2.8	6.6	2.4	0.4	452.7	391.6	0	0.80	
B179	1	31.1	0.1293221	2	3.4	2	1.4	467.1	349.1	1	1.80	
B180	1	35.5	0.3261396	1.8	3.6	2.8	1.4	397.9	372.6	1	1.80	
B181	1	14.4	0.6840715	1.4	2.8	2	1	304.4	285.3	1	0.60	
B182	1	26.7	0.1535604	1.2	8.4	3	1	533	381	1	2.60	
B183	1	9.7	0.2561388	0.8	4.6	3	1.4	518.7	354.7	0	2.40	
B184	1	25.1	0.7688613	2.4	6	1.8	0.4	302.5	347.9	1	0.40	
B185	1	6.6	0.2013609	1.2	6.2	1	0.2	445.5	406	0	0.80	
B186	1	10.7	0.438362	1.6	0.6	1.6	1.2	339.1	295.3	1	0.80	
B187	1	15.4	0.8145446	2.6	2.4	3	1.4	363.6	315.3	1	0.60	
B188	1	15.9	0.7554094	2	0.4	0.8	1.8	480	362	1	0.20	
B189	1	16.1	0.6788958	2.6	7.8	1.8	0.2	503.4	405	0	0.60	
B190	1	21.7	0.525449	1.4	7.2	2.4	0.6	324.9	417.1	0	1.20	
B191	1	6.9	0.3097552	1.2	0.8	2.6	0.4	360.6	342.3	0	1.80	
B192	1	26.9	0.1325472	0.8	6.4	2.4	1.6	438.6	385.8	1	2.00	
B193	1	25.2	0.4800648	1.4	9.4	2.2	1.8	458.8	320.8	1	1.20	
B194	1	28.1	0.2992327	1	9	1	0.6	331.1	409.3	0	0.80	
B195	1	16.9	0.5171439	3	4	2.4	0.4	436.6	400.9	0	1.20	
B196	1	33.8	0.706917	2.4	2	2	1.4	483.8	341.9	1	0.60	
B197	1	16	0.2180514	2.2	5.2	3	1.4	556.6	413.1	0	2.40	
B198	1	35.5	0.8953903	2.2	9.6	1	0.8	344.4	289.5	1	0.20	
B199	1	24.4	0.5576909	0.6	4.4	2.8	1.6	345.5	316.5	1	1.20	
B200	1	28.8	0.2770401	2	8.6	1.6	1.4	529	373.2	1	1.20	
B201	1	16.9	0.2329076	1.4	1.4	1.4	1.8	494.4	329.4	1	1.00	
B202	1	5.6	0.7284378	3	1.2	0.4	0	476.3	346	0	0.20	
B203	1	29.6	0.1886352	2.2	4	2	1.6	379	409.3	1	1.60	
B204	1	35.7	0.2253263	1.8	3	0.8	1.6	306.2	393.1	1	0.60	
B205	1	20.6	0.4687073	2.6	9.6	0.4	1.6	359.5	376.6	1	0.20	
B206	1	21.7	0.3747719	1	4.6	3	1.8	356.6	359.6	1	1.80	
B207	1	33.8	0.6787443	2.6	6.8	2.4	0.2	416.3	328.6	1	0.80	
B208	1	33.6	0.6138788	3	7.2	0.6	1.8	329.3	368.8	1	0.20	
B209	1	33.6	0.3658967	2.2	1.4	1	1.8	397.7	334.4	1	0.60	
B210	1	30.3	0.7111144	0.4	3.8	0.6	0.8	426.5	348.2	1	0.20	
B211	1	8.3	0.1988363	2.2	4.6	1.2	2	334	299.5	1	1.00	
B212	1	25.1	0.3504186	1.4	5.2	1.8	0.2	492.1	308.6	1	1.20	
B213	1	17.7	0.3574845	0.4	7.8	3	1	290.3	367.6	1	2.00	
B214	1	31.8	0.587667	2.6	3.8	2.2	1.6	295.5	293	1	1.00	
B215	1	29.2	0.1869355	1.8	0.8	2.6	1.2	418.9	333.2	1	2.20	
B216	1	33.2	0.1378062	1.6	6.4	2.4	1.6	351.5	307.8	1	2.00	
B217	1	18.4	0.2635818	3	5.2	0.4	2	498.4	353.3	1	0.20	
B218	1	14.4	0.4986611	2.2	8.4	2.6	1.6	288.1	396.7	0	1.40	
B219	1	10.4	0.8517231	1	7.4	0.8	0	540.4	333.9	1	0.20	
B220	1	24.4	0.6487039	2.4	3.8	2.4	1	486.8	311	1	0.80	
B221	1	14.8	0.4968932	1.6	9.4	2.2	1.2	545	377.1	0	1.20	
B222	1	13.2	0.7099868	3	8.4	2.4	0.4	404.3	371.3	0	0.80	
B223	1	36.5	0.4921459	2.4	2.2	1.2	1.8	477.9	343.9	1	0.60	
B224	1	11.2	0.3359482	0.6	1.2	1.6	2	287.1	373.7	0	1.20	
B225	1	15	0.3865794	0.6	3.4	0.6	1.6	451.7	358.1	1	0.40	
B226	1	17.6	0.6630278	1.8	6.6	0.6	1.8	548.3	338	1	0.20	
B227	1	27.5	0.2299885	1.6	7	1	0.6	561.5	293.2	1	0.80	
B228	1	20.8	0.703489	3	2.6	2.2	1.2	413.7	340.4	1	0.60	
B229	1	21.4	0.7241815	2.2	2.8	1	2	314.4	396.6	0	0.40	
B230	1	30.1	0.7902099	1	8.8	1	1.8	370	285.8	1	0.20	
B231	1	10.9	0.2742673	2	0.6	1.6	1.6	424.4	349.7	1	1.20	
B232	1	25.5	0.5717033	1.2	1.6	2.8	1.2	372.1	334	1	1.20	
B233	1	28.2	0.6392752	0.8	7	3	1	503.8	371.2	1	1.00	
B234	1	25.8	0.1456796	2.4	8.8	1.2	0.4	438.8	399.7	1	1.00	
B235	1	19.4	0.2112801	0.6	4.6	1.8	1.2	403.5	333.2	1	1.40	
B236	1	23.2	0.4422098	0.6	3.2	2.2	0.6	432.3	358.5	1	1.20	
B237	1	11.2	0.1191941	0.8	2.6	2.8	0.8	314.5	393.1	0	2.60	
B238	1	12.7	0.6723985	1.6	1.4	2.8	1.4	483.6	413.5	0	1.00	
B239	1	21.8	0.5037858	3	0.8	2.2	1.2	369.7	342.4	1	1.00	
B240	1	35.9	0.331111	1.8	4	1.2	0	356.6	346.6	1	0.80	
B241	1	36.2	0.5720375	2.4	2.6	2.8	0.6	350	417.7	1	1.20	
B242	1	16.4	0.5505956	0.8	5.6	2	1.6	293.2	284.5	1	0.80	
B243	1	24.4	0.3915845	0.6	9.8	2.4	0.8	359.5	317.9	1	1.40	
B244	1	15.3	0.5632015	1.4	6.2	1.4	0.8	337.7	391.3	0	0.80	
B245	1	5.2	0.3533294	0.8	2.6	1.4	1.2	386.3	339.3	0	1.00	
B246	1	15.2	0.4638277	2.2	2.6	1.8	0.4	430.6	379.9	0	1.00	
B247	1	10.4	0.1079676	2.4	5.4	2.8	1.8	326.3	328.7	1	2.40	
B248	1	8.4	0.720006	2.6	1.8	1.2	0.4	532	381.9	0	0.40	
B249	1	19.4	0.367792	2	1.4	0.4	0.4	530.3	399.8	0	0.40	
B250	1	8.5	0.2377417	1.6	7	2.6	2	491.1	382.4	0	2.00	
B251	1	35.9	0.706808	2.2	0.6	1.2	1	324	379.1	1	0.40	
B252	1	25.5	0.531642	1.8	2.4	0.4	0.4	483.8	421.1	0	0.20	
B253	1	26.6	0.1353245	2.8	0.4	1	0.4	516.3	366.6	1	0.80	
B254	1	25.9	0.775747	2	0.6	2.6	1.8	530	291.1	1	0.60	
B255	1	33.3	0.4207236	2.2	1.6	1.4	1.6	491.9	416.3	1	0.80	
B256	1	5.3	0.8114934	1.4	7.4	0.4	0.4	512.9	409.2	0	0.20	
B257	1	9.3	0.897282	2	9.8	0.4	1.4	397.6	394.5	0	0.20	
B258	1	27.3	0.8648502	3	8	1	1.2	469.4	324.7	1	0.20	
B259	1	35.1	0.7380688	2.8	1.2	2	0.2	288.4	378.4	1	0.60	
B260	1	5.2	0.2042504	2.6	0.8	0.4	1.4	537.5	325.8	0	0.40	
B261	1	10.9	0.3753543	0.6	9.2	1	1.2	292.9	399.4	0	0.80	
B262	1	8.1	0.7289988	0.6	6.6	1.2	0.2	345.1	368.8	0	0.40	
B263	1	35	0.4094101	1.2	1.4	1.4	1.4	366.1	302	1	0.80	
B264	1	19.2	0.7769392	2.8	2.4	2.6	1.8	402.9	322.7	1	0.60	
B265	1	6.8	0.2532751	0.6	9.4	2.6	0.2	397.3	361.4	0	2.00	
B266	1	34	0.1169136	2.4	7.4	3	1	463.5	287.8	1	2.60	
B267	1	21.5	0.6955436	0.4	7.6	2.6	2	491.4	351.1	1	0.80	
B268	1	21.6	0.8531386	1.4	3.8	2.4	0.8	503.3	314.6	1	0.40	
B269	1	35.8	0.5008392	1.8	8	1.4	1.6	373	303.4	1	0.60	
B270	1	9.5	0.7926033	2.8	0.6	1	1.8	525	326.3	1	0.20	
B271	1	11	0.447444	3	5	1.2	1	461.2	310.6	1	0.60	
B272	1	23.5	0.8147992	2.6	9.8	1.8	0.2	518.4	382.8	1	0.40	
B273	1	19.5	0.6219419	1.6	8.6	1.8	1.4	492.8	408.8	0	0.80	
B274	1	23.1	0.2852857	2.6	1	1.4	0.4	288.1	344.8	1	1.00	
B275	1	31.6	0.6699412	1.2	3.6	0.6	1.4	311.5	293.1	1	0.20	
B276	1	27.5	0.4751488	2	5.4	2.6	1.8	293.7	358.3	1	1.40	
B277	1	28	0.3695218	0.4	3.2	2.8	0	543.5	321.9	1	1.80	
B278	1	28.2	0.5698572	1.2	6.8	1.6	0.8	452.3	350.5	1	0.60	
B279	1	17.7	0.6626863	2	8.2	0.8	0.4	424.1	286.2	1	0.20	
B280	1	23.1	0.3463149	1.4	8	1	0.6	508.1	387.7	1	0.60	
B281	1	35.2	0.4470365	1	9.4	1.4	1	361.5	286.5	1	0.80	
B282	1	7.8	0.16141	1.6	5.8	1.4	1.8	548.4	376.3	0	1.20	
B283	1	8.1	0.4510849	0.4	4.4	0.6	2	310.1	384.3	0	0.40	
B284	1	19.7	0.5094754	1.6	5	2.6	1.2	359.6	406.2	0	1.40	
B285	1	19.5	0.2729775	1.2	3.6	1.2	0	351.2	421.5	0	1.00	
B286	1	22	0.827739	1.4	6.8	2	1.4	412.4	407.8	0	0.40	
B287	1	30.8	0.8985814	0.4	5.6	0.6	1.4	367.4	366.3	1	0.20	
B288	1	36.8	0.2221268	0.6	7.8	2.2	1.2	491.4	387	1	1.80	
B289	1	36.5	0.4675658	2	4.6	0.8	1.4	495.3	369.8	1	0.40	
B290	1	13.6	0.6651195	1	4	0.8	1.8	435	372.5	0	0.40	
B291	1	32.8	0.3660838	2.6	3.6	0.6	1.2	520.5	370.9	1	0.40	
B292	1	27.7	0.3655746	3	5.8	0.6	1.6	388.8	371.6	1	0.40	
B293	1	12.4	0.8892712	1.4	4.2	1	1.6	560.6	302.6	1	0.20	
B294	1	30.9	0.4567947	0.6	7.8	1.8	0.6	555.4	285.9	1	1.00	
B295	1	16.8	0.5238622	2.6	5.4	2.4	1.2	325.6	395.1	0	1.20	
B296	1	31.6	0.5003788	0.6	7.2	1.2	0.8	323.3	402.8	1	0.60	
B297	1	20.6	0.5941719	1.8	7.8	2.4	1.8	558.5	422.8	0	1.00	
B298	1	12.1	0.8002684	1.6	2.2	1.8	0.6	334.4	423.7	0	0.40	
B299	1	23.6	0.6299558	2.2	3.8	0.6	0.6	516.9	397.8	0	0.40	
B300	1	17	0.5359261	2.4	6.2	1.4	1.8	298.4	308.3	1	0.60	
B301	1	31.2	0.8291018	0.6	8.6	1	2	389.3	320.7	1	0.20	
B302	1	27.8	0.2505884	3	7.8	1.6	0.8	404.1	420	0	1.20	
B303	1	34.1	0.1906707	2.8	1.4	1.4	0.8	472.4	293.7	1	1.20	
B304	1	9	0.63524	2.2	9.8	1	1.2	369.5	333.5	1	0.40	
B305	1	12.2	0.7443712	0.8	4.6	1.6	1	502.1	303.8	1	0.40	
B306	1	35.1	0.8170294	0.6	1	2	1.6	358.3	393.4	1	0.40	
B307	1	26.5	0.2214165	2	3.8	2.2	0.6	316	335.6	1	1.80	
B308	1	7.3	0.351871	1.4	3	2.8	1.2	294.8	377.2	0	2.00	
B309	1	27.9	0.8840497	2.2	3	2.2	0.2	360.3	397	1	0.20	
B310	1	6.3	0.7600505	2.8	1	2.2	1	453.1	305.7	1	0.60	
B311	1	30.2	0.5493444	1.4	7	1.8	1.8	315.2	407.8	1	0.80	
B312	1	15.4	0.857195	0.6	4	1	1	538.6	343.6	1	0.20	
B313	1	8.3	0.112133	2.6	1.2	2.6	1	477.9	382	0	2.40	
B314	1	20.1	0.4402282	1.6	2.4	2.4	0.6	531	414.6	0	1.40	
B315	1	14.9	0.172491	2.2	5	2	0.2	438.7	376.8	0	1.80	
B316	1	23.9	0.8745944	1.2	2.4	1.4	0.6	355.5	354.9	1	0.20	
